Anonymised Name,Maximum Observed Utilisation (%),Cleansed Voltage Level
Data Centre #1,13.016,Extra-High Voltage Import
Data Centre #5,25.188333333333336,High Voltage Import
Data Centre #15,29.641000000000002,Extra-High Voltage Import
Data Centre #19,23.1375,High Voltage Import
Data Centre #23,28.560000000000002,High Voltage Import
Data Centre #24,21.349999999999998,High Voltage Import
Data Centre #26,26.382499999999997,High Voltage Import
Data Centre #29,10.1,High Voltage Import
Data Centre #30,45.387142857142855,High Voltage Import
Data Centre #34,30.246000000000002,High Voltage Import
Data Centre #35,38.145999999999994,High Voltage Import
Data Centre #36,65.64800000000001,High Voltage Import
Data Centre #40,25.695,High Voltage Import
Data Centre #41,96.48,High Voltage Import
Data Centre #52,1.5033333333333334,High Voltage Import
Data Centre #53,2.9699999999999998,High Voltage Import
Data Centre #57,46.36190476190477,High Voltage Import
Data Centre #62,13.384615384615383,High Voltage Import
Data Centre #70,75.61,High Voltage Import
Data Centre #75,62.85000000000001,Low Voltage Import
Data Centre #76,6.1625,Low Voltage Import
Data Centre #85,54.14285714285714,Low Voltage Import
Data Centre #87,7.8181818181818175,Low Voltage Import
Data Centre #6,13.571954022988505,Extra-High Voltage Import
Data Centre #12,63.69384615384616,High Voltage Import
Data Centre #13,45.24333333333333,High Voltage Import
Data Centre #16,41.592,High Voltage Import
Data Centre #18,33.31458333333333,Extra-High Voltage Import
Data Centre #20,46.75625,High Voltage Import
Data Centre #25,36.05125,High Voltage Import
Data Centre #27,53.06133333333333,High Voltage Import
Data Centre #31,35.466153846153844,High Voltage Import
Data Centre #32,5.435714285714285,High Voltage Import
Data Centre #33,89.77000000000001,High Voltage Import
Data Centre #37,33.62291666666667,High Voltage Import
Data Centre #38,20.432499999999997,High Voltage Import
Data Centre #42,34.0575,High Voltage Import
Data Centre #44,29.752499999999998,High Voltage Import
Data Centre #47,17.774285714285714,High Voltage Import
Data Centre #48,17.78857142857143,High Voltage Import
Data Centre #49,22.5125,High Voltage Import
Data Centre #55,24.169999999999998,High Voltage Import
Data Centre #58,89.18435754189944,High Voltage Import
Data Centre #61,32.61333333333333,High Voltage Import
Data Centre #63,45.25384615384615,High Voltage Import
Data Centre #64,19.55,High Voltage Import
Data Centre #67,50.370000000000005,Low Voltage Import
Data Centre #68,45.13999999999999,High Voltage Import
Data Centre #69,39.35,High Voltage Import
Data Centre #72,16.96,Low Voltage Import
Data Centre #79,49.53333333333333,Low Voltage Import
Data Centre #80,25.44,Low Voltage Import
Data Centre #83,13.714285714285715,Low Voltage Import
Data Centre #84,21.25,Low Voltage Import
Data Centre #2,14.483749999999999,Extra-High Voltage Import
Data Centre #3,35.2825,Extra-High Voltage Import
Data Centre #4,30.202666666666666,High Voltage Import
Data Centre #7,43.195,Extra-High Voltage Import
Data Centre #8,26.2872,Extra-High Voltage Import
Data Centre #9,0.216,Extra-High Voltage Import
Data Centre #10,44.78782051282051,High Voltage Import
Data Centre #11,41.67857142857142,High Voltage Import
Data Centre #14,65.4566037735849,High Voltage Import
Data Centre #17,48.07,High Voltage Import
Data Centre #21,59.04874999999999,High Voltage Import
Data Centre #22,25.53125,Extra-High Voltage Import
Data Centre #39,27.492500000000003,High Voltage Import
Data Centre #43,32.595,High Voltage Import
Data Centre #45,54.70666666666667,High Voltage Import
Data Centre #46,64.79733333333334,High Voltage Import
Data Centre #50,73.32380952380952,High Voltage Import
Data Centre #51,48.06666666666667,High Voltage Import
Data Centre #54,12.423333333333334,High Voltage Import
Data Centre #56,42.624137931034475,High Voltage Import
Data Centre #59,26.075,High Voltage Import
Data Centre #60,55.653333333333336,High Voltage Import
Data Centre #66,7.759999999999999,Low Voltage Import
Data Centre #71,31.2,Low Voltage Import
Data Centre #74,37.68888888888889,Low Voltage Import
Data Centre #77,30.483333333333334,Low Voltage Import
Data Centre #78,28.633333333333333,Low Voltage Import
Data Centre #82,12.833333333333336,Low Voltage Import
Data Centre #86,85.41666666666666,Low Voltage Import
Data Centre #88,13.5,Low Voltage Import
