iso3,dc_per_million
AFG,0.02344803769469023
ALB,0.36837609136021765
DZA,0.02136099074667514
AND,24.408699260416412
AGO,0.07918523879456944
ATG,0.0
ARG,0.6346266433465447
ARM,0.3296522169111587
AUS,11.542076990873195
AUT,7.408632495002986
AZE,0.09801183002788437
BHR,5.665116103407253
BGD,0.04033132436476839
BRB,0.0
BLR,0.9853606069470988
BEL,6.735796142476907
BLZ,0.0
BEN,0.0
BTN,1.2633855701153724
BOL,0.4027932909138292
BIH,0.6320607106953837
BWA,0.0
BRA,0.9292515379337011
BGR,3.7241832633342056
BFA,0.0
BDI,0.0
CPV,0.0
KHM,0.39685237108803484
CMR,0.03433624468062897
CAN,8.162059458592916
CAF,0.0
TCD,0.0
CHL,2.985109212750302
CHN,0.3186713745808123
COL,0.7752471085977306
COM,0.0
CRI,2.5341575193326977
HRV,2.327806947210511
CUB,0.0
CYP,4.417344851805442
DNK,8.365411899497273
DJI,1.7112709438172637
DMA,0.0
DOM,0.26252330222461373
ECU,0.8271080585799834
SLV,1.2621893968833073
GNQ,0.0
ERI,0.0
EST,11.661926579425737
SWZ,0.0
ETH,0.0
FJI,0.0
FIN,8.514844389444857
FRA,4.6995842575544975
GAB,0.0
GEO,1.0887760795895314
DEU,6.334498649578289
GHA,0.20332633755181265
GRC,1.3476044646135912
GRD,0.0
GTM,0.8692648013656584
GIN,0.0
GNB,0.0
GUY,0.0
HTI,0.0
HND,0.6466092779378855
HUN,1.5686579629156707
ISL,14.829094683769556
IND,0.10544918731003997
IDN,0.30336388465158326
IRQ,0.0
IRL,10.222560000386599
ISR,1.3033365415463587
ITA,2.8481323448437945
JAM,0.3522149920311358
JPN,1.7906782468914733
JOR,0.6059097319143736
KAZ,1.214030049963164
KEN,0.19492160465702446
KIR,0.0
KWT,0.8042042188151217
LVA,14.497103532407202
LBN,0.3444734912147203
LSO,0.0
LBR,0.0
LBY,0.0
LIE,49.754956837574944
LTU,6.232568285576279
LUX,33.93746947472175
MDG,0.031284260175424614
MWI,0.0
MYS,1.7436461604222526
MDV,0.0
MLI,0.0
MLT,10.446664554118946
MHL,0.0
MRT,0.0
MUS,2.3818805582175275
MEX,1.3220133633848623
MDA,2.929759027320003
MCO,51.77189303926898
MNG,0.0
MNE,0.0
MAR,0.10503878123712208
MOZ,0.11550089591157436
NAM,0.0
NRU,0.0
NPL,0.10117684180805175
NLD,16.56085779019138
NZL,15.547438419031563
NIC,0.7229466147301818
NER,0.0
NGA,0.04727533383928255
MKD,3.3478798713744555
NOR,8.434620564107423
OMN,2.461404234902788
PAK,0.043777755395405384
PLW,0.0
PAN,4.429112824341164
PNG,0.3781968745432091
PRY,0.14431778314030588
PER,0.6137148075472192
PHL,0.34529292796058686
POL,3.9393011685198296
PRT,1.962316789694585
QAT,2.449417773395264
ROU,1.625646194362259
RUS,1.7487164055815656
RWA,0.14028622739261143
WSM,0.0
SMR,0.0
STP,0.0
SAU,0.3965974207570025
SEN,0.0
SRB,1.821714287796245
SYC,0.0
SLE,0.0
SGP,16.3992539167713
SVN,6.113837778250163
SLB,0.0
SOM,0.0
ZAF,1.0623806979675579
SSD,0.0
ESP,2.9298993710694403
LKA,0.13688629311918232
SDN,0.0
SUR,0.0
SWE,8.98794848562056
CHE,13.393694248747689
TJK,0.0
TZA,0.0875143853594151
THA,0.586035518691875
TLS,0.0
TGO,0.0
TON,0.0
TTO,2.9232650239378866
TUN,0.16290480112215344
TKM,0.0
TUV,0.0
UGA,0.039987930043195764
UKR,1.5319509096367927
ARE,2.206494614636175
GBR,7.554964897581834
USA,15.956555922856571
URY,1.7716946968453204
UZB,0.13750672098475494
VUT,0.0
ZMB,0.09383082939509704
ZWE,0.0
