country,dc_count,population,dc_per_million
Monaco,2,38631,51.772
Liechtenstein,2,40197,49.755
Luxembourg,23,677717,33.937
Andorra,2,81938,24.409
Netherlands,298,17994237,16.561
Singapore,99,6036860,16.399
United States,5427,340110988,15.957
New Zealand,83,5338500,15.547
Iceland,6,404610,14.829
Latvia,27,1862441,14.497
Switzerland,121,9034102,13.394
Estonia,16,1371986,11.662
Australia,314,27204809,11.542
Malta,6,574346,10.447
Ireland,55,5380257,10.223
Sweden,95,10569709,8.988
Finland,48,5637214,8.515
Norway,47,5572272,8.435
Denmark,50,5976992,8.365
Canada,337,41288599,8.162
United Kingdom,523,69226000,7.555
Austria,68,9178482,7.409
Belgium,80,11876844,6.736
Germany,529,83510950,6.334
Lithuania,18,2888055,6.233
Slovenia,13,2126324,6.114
Bahrain,9,1588670,5.665
France,322,68516699,4.7
Panama,20,4515577,4.429
Cyprus,6,1358282,4.417
Poland,144,36554707,3.939
Bulgaria,24,6444366,3.724
North Macedonia,6,1792179,3.348
Chile,59,19764771,2.985
Spain,143,48807137,2.93
Moldova,7,2389275,2.93
Trinidad and Tobago,4,1368333,2.923
Italy,168,58986023,2.848
Costa Rica,13,5129910,2.534
Oman,13,5281538,2.461
Qatar,7,2857822,2.449
Mauritius,3,1259509,2.382
Croatia,9,3866300,2.328
United Arab Emirates,24,10876981,2.206
Portugal,21,10701636,1.962
Serbia,12,6587202,1.822
Japan,222,123975371,1.791
Uruguay,6,3386588,1.772
Russian Federation,251,143533851,1.749
Malaysia,62,35557673,1.744
Djibouti,2,1168722,1.711
Romania,31,19069340,1.626
Hungary,15,9562314,1.569
Ukraine,58,37860221,1.532
Greece,14,10388805,1.348
Mexico,173,130861007,1.322
Israel,13,9974400,1.303
Bhutan,1,791524,1.263
El Salvador,8,6338193,1.262
Kazakhstan,25,20592571,1.214
Georgia,4,3673850,1.089
South Africa,68,64007187,1.062
Belarus,9,9133712,0.985
Brazil,197,211998573,0.929
Guatemala,16,18406359,0.869
Ecuador,15,18135478,0.827
Kuwait,4,4973861,0.804
Colombia,41,52886363,0.775
Nicaragua,5,6916140,0.723
Honduras,7,10825703,0.647
Argentina,29,45696159,0.635
Bosnia and Herzegovina,2,3164253,0.632
Peru,21,34217848,0.614
Jordan,7,11552876,0.606
Thailand,42,71668011,0.586
Bolivia,5,12413315,0.403
Cambodia,7,17638801,0.397
Saudi Arabia,14,35300280,0.397
Papua New Guinea,4,10576502,0.378
Albania,1,2714617,0.368
Jamaica,1,2839175,0.352
Philippines,40,115843670,0.345
Lebanon,2,5805962,0.344
Armenia,1,3033500,0.33
China,449,1408975000,0.319
Indonesia,86,283487931,0.303
Dominican Republic,3,11427557,0.263
Ghana,7,34427414,0.203
Kenya,11,56432944,0.195
Tunisia,2,12277109,0.163
Paraguay,1,6929153,0.144
Rwanda,2,14256567,0.14
Uzbekistan,5,36361859,0.138
Sri Lanka,3,21916000,0.137
Mozambique,4,34631766,0.116
India,153,1450935791,0.105
Morocco,4,38081173,0.105
Nepal,3,29651054,0.101
Azerbaijan,1,10202850,0.098
Zambia,2,21314956,0.094
Tanzania,6,68560157,0.088
Angola,3,37885849,0.079
Nigeria,11,232679478,0.047
Pakistan,11,251269164,0.044
Uganda,2,50015092,0.04
Bangladesh,7,173562364,0.04
Cameroon,1,29123744,0.034
Madagascar,1,31964956,0.031
Afghanistan,1,42647492,0.023
Algeria,1,46814308,0.021
Eritrea,0,3535603,0.0
Tonga,0,104175,0.0
Fiji,0,928784,0.0
Antigua and Barbuda,0,93772,0.0
Gabon,0,2538952,0.0
Burundi,0,14047786,0.0
Nauru,0,11947,0.0
Benin,0,14462724,0.0
Burkina Faso,0,23548781,0.0
Guinea,0,14754785,0.0
Guinea-Bissau,0,2201352,0.0
Equatorial Guinea,0,1892516,0.0
Grenada,0,117207,0.0
Palau,0,17695,0.0
Guyana,0,831087,0.0
Ethiopia,0,132059767,0.0
Belize,0,417072,0.0
Iraq,0,46042015,0.0
Barbados,0,282467,0.0
Kiribati,0,134518,0.0
Liberia,0,5612817,0.0
Libya,0,7381023,0.0
Lesotho,0,2337423,0.0
Sudan,0,50448963,0.0
Senegal,0,18501984,0.0
Botswana,0,2521139,0.0
Solomon Islands,0,819198,0.0
Sierra Leone,0,8642022,0.0
Central African Republic,0,5330690,0.0
San Marino,0,33977,0.0
Somalia,0,19009151,0.0
Comoros,0,866628,0.0
South Sudan,0,11943408,0.0
Sao Tome and Principe,0,235536,0.0
Suriname,0,634431,0.0
Cabo Verde,0,524877,0.0
Cuba,0,10979783,0.0
Eswatini,0,1242822,0.0
Seychelles,0,121354,0.0
Chad,0,20299123,0.0
Togo,0,9515236,0.0
Maldives,0,527799,0.0
Tajikistan,0,10590927,0.0
Turkmenistan,0,7494498,0.0
Timor-Leste,0,1400638,0.0
Zimbabwe,0,16634373,0.0
Marshall Islands,0,37548,0.0
Dominica,0,66205,0.0
Tuvalu,0,9646,0.0
Mali,0,24478595,0.0
Montenegro,0,623831,0.0
Mongolia,0,3524788,0.0
Mauritania,0,5169395,0.0
Malawi,0,21655286,0.0
Namibia,0,3030131,0.0
Vanuatu,0,327777,0.0
Samoa,0,218019,0.0
Niger,0,27032412,0.0
Haiti,0,11772557,0.0
