year,month,mname,mean,median,p95,max
2024,1,January,19.087659091919775,17.630000000000003,56.76,72.63
2024,2,February,19.3548363573155,17.849999999999998,55.69449999999997,73.85000000000001
2024,3,March,19.14528289020113,17.45,53.76,89.66
2024,4,April,19.05618239018138,17.59,54.37,85.36
2024,5,May,19.333428642447707,17.419999999999998,54.83,86.59
2024,6,June,19.432775462962965,17.02,54.86,75.6
2024,7,July,19.666909704590935,17.52,55.54,83.13000000000001
2024,8,August,19.77597280303483,18.0,55.800000000000004,84.36
2024,9,September,19.49481372881879,17.68,54.67999999999999,73.74000000000001
2024,10,October,19.074063912681417,17.31,52.669999999999995,71.28
2024,11,November,18.957453546688516,17.47,53.449999999999996,71.06
2024,12,December,18.777755588717227,17.4,52.22,93.85
